Column,Null Count
Full name,2
Industry,519592
Job title,491245
Sub Role,1699702
Industry 2,1411159
Emails,1263745
Mobile,2026030
Phone numbers,1811154
Company Name,708827
Company Industry,1197239
Company Website,1311736
Company Size,1180548
Company Founded,1446307
Location,7690
Locality,20516
Metro,290818
Region,7917
Skills,1315521
First Name,8135
Middle Initial,1962112
Middle Name,2027087
Last Name,7964
Birth Year,2036754
Birth Date,2071323
Gender,329838
LinkedIn Url,7956
LinkedIn Username,8044
Facebook Url,1893135
Facebook Username,1893136
Twitter Url,2100953
Twitter Username,2100954
Github Url,2123576
Github Username,2123576
Company Linkedin Url,1181056
Company Facebook Url,1746606
Company Twitter Url,1700703
Company Location Name,1216540
Company Location Locality,1324961
Company Location Metro,1465999
Company Location Region,1284588
Company Location Geo,1352880
Company Location Street Address,1463991
Company Location Address Line 2,2046596
Company Location Postal Code,1446274
Company Location Country,1216540
Company Location Continent,1216540
Last Updated,520098
Start Date,1331388
Job Summary,1865550
Location Country,8315
Location Continent,8466
Street Address,1835731
Address Line 2,2111853
Postal Code,1867983
Location Geo,35022
Last Updated.1,121785
Linkedin Connections,218114
Inferred Salary,995892
Years Experience,1035902
Summary,803322
Countries,9286
Interests,1920073
